Column,Group,Subgroup,N,Mean,SAMPLE,POPULATION,STD,MSE,SS,TUKEY,SST,SSE,SSA,ALT_SSA,ALT_FTEST
delay_0,Male,A24,5,3.0,1.5,1.2,1.224744871391589,1.2,6.0,0.3,7.907439446366782,6.0,1.907439446366782,1.907439446366782,0.10596885813148789
delay_0,Female,A24,6,2.5,1.5,1.25,1.224744871391589,1.25,7.5,0.25,7.583044982698961,7.5,0.08304498269896197,0.08304498269896197,0.0029527104959630925
delay_0,Male,U24,19,2.210526315789474,1.175438596491228,1.1135734072022159,1.0841764600337105,1.1135734072022159,21.157894736842103,0.061865189289011996,21.71885813148789,21.157894736842103,0.5609633946457825,0.5609633946457825,0.001963940390320595
delay_0,Female,U24,4,2.25,0.25,0.1875,0.5,0.1875,0.75,0.0625,0.820069204152249,0.75,0.07006920415224911,0.07006920415224911,0.04152249134948096
delay_0,Overall,all,34,2.3823529411764706,1.1524064171122996,1.1185121107266438,1.0735019408982454,1.1185121107266438,38.02941176470589,0.033894306385655874,38.02941176470589,38.02941176470589,0.0,0.0,0.0
delay_1,Male,A24,5,2.6,2.3,1.8399999999999999,1.51657508881031,1.8399999999999999,9.2,0.45999999999999996,9.582179930795848,9.2,0.38217993079584744,0.38217993079584744,0.01384709894187853
delay_1,Female,A24,6,2.3333333333333335,1.0666666666666667,0.8888888888888888,1.0327955589886444,0.8888888888888888,5.333333333333333,0.17777777777777778,5.333910034602076,5.333333333333333,0.0005767012687427871,0.0005767012687427871,2.883506343713936e-05
delay_1,Male,U24,19,2.1578947368421053,1.0292397660818713,0.9750692520775623,1.0145145470035761,0.9750692520775623,18.526315789473685,0.054170514004309014,19.04757785467128,18.526315789473685,0.5212620651975969,0.5212620651975969,0.0020841707152260817
delay_1,Female,U24,4,2.75,0.25,0.1875,0.5,0.1875,0.75,0.0625,1.4775086505190305,0.75,0.7275086505190305,0.7275086505190305,0.4311162373446107
delay_1,Overall,all,34,2.323529411764706,1.07397504456328,1.0423875432525953,1.0363276723909673,1.0423875432525953,35.44117647058824,0.03158750131068471,35.44117647058824,35.44117647058824,0.0,0.0,0.0
delay_2,Male,A24,5,2.4,1.3,1.04,1.140175425099138,1.04,5.2,0.26,5.224913494809689,5.2,0.02491349480968872,0.02491349480968872,0.001597018898056969
delay_2,Female,A24,6,3.5,1.9,1.5833333333333333,1.378404875209022,1.5833333333333333,9.5,0.31666666666666665,15.858131487889272,9.5,6.358131487889272,6.358131487889272,0.1784738663267164
delay_2,Male,U24,19,2.263157894736842,0.8713450292397662,0.8254847645429364,0.9334586382051249,0.8254847645429364,15.684210526315791,0.0458602646968298,16.50173010380623,15.684210526315791,0.8175195774904402,0.8175195774904402,0.003861017144498723
delay_2,Female,U24,4,2.0,0.6666666666666666,0.5,0.816496580927726,0.5,2.0,0.16666666666666666,2.885813148788928,2.0,0.8858131487889277,0.8858131487889277,0.1968473663975395
delay_2,Overall,all,34,2.4705882352941178,1.2263814616755795,1.1903114186851214,1.1074210859811093,1.1903114186851214,40.47058823529412,0.03607004299045822,40.47058823529412,40.47058823529412,0.0,0.0,0.0
delay_3,Male,A24,5,2.0,0.5,0.4,0.7071067811865476,0.4,2.0,0.1,2.622837370242215,2.0,0.6228373702422147,0.6228373702422147,0.10380622837370246
delay_3,Female,A24,6,2.3333333333333335,1.0666666666666669,0.888888888888889,1.0327955589886446,0.888888888888889,5.333333333333334,0.1777777777777778,5.335640138408305,5.333333333333334,0.0023068050749711485,0.0023068050749711485,0.0001153402537485574
delay_3,Male,U24,19,2.3684210526315788,1.8011695906432748,1.706371191135734,1.3420765964144055,1.706371191135734,32.421052631578945,0.09479839950754078,32.42560553633218,32.421052631578945,0.004552904753232406,0.004552904753232406,1.0402259537207277e-05
delay_3,Female,U24,4,2.75,2.25,1.6875,1.5,1.6875,6.75,0.5625,7.380622837370242,6.75,0.6306228373702419,0.6306228373702419,0.04152249134948095
delay_3,Overall,all,34,2.3529411764705883,1.447415329768271,1.4048442906574394,1.2030857532895447,1.4048442906574394,47.76470588235294,0.0425710391108315,47.76470588235294,47.76470588235294,0.0,0.0,0.0
delay_4,Male,A24,5,2.8,1.7,1.3599999999999999,1.3038404810405297,1.3599999999999999,6.8,0.33999999999999997,7.090830449826989,6.8,0.2908304498269897,0.2908304498269897,0.014256394599362239
delay_4,Female,A24,6,2.5,2.7,2.25,1.6431676725154984,2.25,13.5,0.45,13.520761245674741,13.5,0.020761245674740338,0.020761245674740338,0.00041009867999487087
delay_4,Male,U24,19,2.526315789473684,1.5964912280701757,1.5124653739612193,1.2635233389495326,1.5124653739612193,28.736842105263165,0.08402585410895662,28.756920415224908,28.736842105263165,0.020078309961755515,0.020078309961755515,5.1755242066660514e-05
delay_4,Female,U24,4,2.5,1.6666666666666667,1.25,1.2909944487358056,1.25,5.0,0.4166666666666667,5.013840830449826,5.0,0.013840830449826891,0.013840830449826891,0.0012302960399846125
delay_4,Overall,all,34,2.5588235294117645,1.6479500891265597,1.5994809688581315,1.2837250831570441,1.5994809688581315,54.38235294117647,0.04846912026842823,54.38235294117647,54.38235294117647,0.0,0.0,0.0
ALL,Male_A24,Group_1,5,3.0,1.5,1.2,1.224744871391589,1.2,6.0,0.3,7.69567474048443,6.0,1.69567474048443,1.69567474048443,0.07437169914405395
ALL,Male_A24,Group_1,5,2.6,2.3,1.8399999999999999,1.51657508881031,1.8399999999999999,9.2,0.45999999999999996,9.366262975778547,9.2,0.16626297577854715,0.16626297577854715,0.004755805943322288
ALL,Male_A24,Group_1,5,2.4,1.3,1.04,1.140175425099138,1.04,5.2,0.26,5.201557093425605,5.2,0.0015570934256055255,0.0015570934256055255,7.880027457517842e-05
ALL,Male_A24,Group_1,5,2.0,0.5,0.4,0.7071067811865476,0.4,2.0,0.1,2.8721453287197223,2.0,0.8721453287197225,0.8721453287197225,0.11475596430522664
ALL,Male_A24,Group_1,5,2.8,1.7,1.3599999999999999,1.3038404810405297,1.3599999999999999,6.8,0.33999999999999997,7.530968858131488,6.8,0.7309688581314878,0.7309688581314878,0.028288268503540555
ALL,Female_A24,Group_2,6,2.5,1.5,1.25,1.224744871391589,1.25,7.5,0.25,7.540692041522491,7.5,0.0406920415224915,0.0406920415224915,0.0011422327444909894
ALL,Female_A24,Group_2,6,2.3333333333333335,1.0666666666666667,0.8888888888888888,1.0327955589886444,0.8888888888888888,5.333333333333333,0.17777777777777778,5.37598615916955,5.333333333333333,0.04265282583621654,0.04265282583621654,0.0016836641777453899
ALL,Female_A24,Group_2,6,3.5,1.9,1.5833333333333333,1.378404875209022,1.5833333333333333,9.5,0.31666666666666665,16.52892733564014,9.5,7.02892733564014,7.02892733564014,0.15576570272886736
ALL,Female_A24,Group_2,6,2.3333333333333335,1.0666666666666669,0.888888888888889,1.0327955589886446,0.888888888888889,5.333333333333334,0.1777777777777778,5.37598615916955,5.333333333333334,0.04265282583621654,0.04265282583621654,0.0016836641777453897
ALL,Female_A24,Group_2,6,2.5,2.7,2.25,1.6431676725154984,2.25,13.5,0.45,13.540692041522494,13.5,0.0406920415224915,0.0406920415224915,0.0006345737469394386
ALL,Male_U24,Group_3,19,2.210526315789474,1.175438596491228,1.1135734072022159,1.0841764600337105,1.1135734072022159,21.157894736842103,0.061865189289011996,21.97297577854671,21.157894736842103,0.8150810417046046,0.8150810417046046,0.0022528497559552367
ALL,Male_U24,Group_3,19,2.1578947368421053,1.0292397660818713,0.9750692520775623,1.0145145470035761,0.9750692520775623,18.526315789473685,0.054170514004309014,19.80826989619377,18.526315789473685,1.2819541067200855,1.2819541067200855,0.004046572306565927
ALL,Male_U24,Group_3,19,2.263157894736842,0.8713450292397662,0.8254847645429364,0.9334586382051249,0.8254847645429364,15.684210526315791,0.0458602646968298,16.137681660899652,15.684210526315791,0.453471134583864,0.453471134583864,0.0016907946852493063
ALL,Male_U24,Group_3,19,2.3684210526315788,1.8011695906432748,1.706371191135734,1.3420765964144055,1.706371191135734,32.421052631578945,0.09479839950754078,32.46709342560554,32.421052631578945,0.04604079402658903,0.04604079402658903,8.304616527162523e-05
ALL,Male_U24,Group_3,19,2.526315789473684,1.5964912280701757,1.5124653739612193,1.2635233389495326,1.5124653739612193,28.736842105263165,0.08402585410895662,28.96121107266436,28.736842105263165,0.224368967401202,0.224368967401202,0.00045659130525275125
ALL,Female_U24,Group_4,4,2.25,0.25,0.1875,0.5,0.1875,0.75,0.0625,0.8624221453287195,0.75,0.11242214532871952,0.11242214532871952,0.05259515570934247
ALL,Female_U24,Group_4,4,2.75,0.25,0.1875,0.5,0.1875,0.75,0.0625,1.1918339100346025,0.75,0.4418339100346025,0.4418339100346025,0.20670592282320585
ALL,Female_U24,Group_4,4,2.0,0.6666666666666666,0.5,0.816496580927726,0.5,2.0,0.16666666666666666,2.697716262975778,2.0,0.697716262975778,0.697716262975778,0.12240636192557507
ALL,Female_U24,Group_4,4,2.75,2.25,1.6875,1.5,1.6875,6.75,0.5625,7.191833910034602,6.75,0.4418339100346025,0.4418339100346025,0.022967324758133977
ALL,Female_U24,Group_4,4,2.5,1.6666666666666667,1.25,1.2909944487358056,1.25,5.0,0.4166666666666667,5.027128027681661,5.0,0.027128027681661,0.027128027681661,0.0019037212408183157
ALL,Overall,all,170,2.4176470588235293,1.2860772711451447,1.2785121107266437,1.1340534692619852,1.2785121107266437,217.34705882352944,0.007565160418500851,217.34705882352944,217.34705882352944,0.0,0.0,0.0
