Metric,Source,k,n_total,SS,df,MS,F,p_value
difficulty_0,Between Groups,4,34,2.7589783281733746,3,0.9196594427244582,1.255432600533927,0.3073075453731098
difficulty_0,Within Groups,4,34,21.976315789473684,30,0.7325438596491228,,
difficulty_0,Total,4,34,24.73529411764706,33,,,
difficulty_1,Between Groups,4,34,4.694066047471619,3,1.5646886824905397,1.704377900473818,0.18720683437829677
difficulty_1,Within Groups,4,34,27.541228070175436,30,0.9180409356725145,,
difficulty_1,Total,4,34,32.23529411764706,33,,,
difficulty_2,Between Groups,4,34,4.04561403508772,3,1.3485380116959067,1.8017032580670373,0.168149415319508
difficulty_2,Within Groups,4,34,22.454385964912277,30,0.7484795321637425,,
difficulty_2,Total,4,34,26.5,33,,,
difficulty_3,Between Groups,4,34,0.5471620227038188,3,0.18238734090127293,0.15536632108258278,0.9254075926157467
difficulty_3,Within Groups,4,34,35.217543859649126,30,1.173918128654971,,
difficulty_3,Total,4,34,35.76470588235294,33,,,
difficulty_4,Between Groups,4,34,0.3350877192982455,3,0.1116959064327485,0.11108526230080257,0.9529530793685618
difficulty_4,Within Groups,4,34,30.164912280701756,30,1.005497076023392,,
difficulty_4,Total,4,34,30.5,33,,,
